f0,f1,f2,f3,f4,f5,f6,f7,closest_centroid,a,neighbor,r
0.5485,-1.658,-3.3654,0.6549,2.1634,-0.1673,-2.8992,-0.9385,0.0,2.6247200250693417,1,67.6066
-2.3962,0.1839,2.5178,0.5889,-0.6954,-0.3548,2.485,-3.1563,3.0,0.0,3,42.611
-1.8053,-2.4539,2.3866,1.9443,-0.348,-2.758,1.6134,0.8089,3.0,5.960464477539063e-08,3,31.014799999999997
5.0033,1.3527,-3.2039,-1.1081,3.1876,-2.4602,1.0094,2.6121,2.0,3.875389900384218,1,24.1435
-5.2151,-1.4633,1.3772,4.1271,1.6979,2.3009,-0.8447,2.8612,3.0,0.0,3,4.1286
2.5246,-0.6597,-2.7944,2.47,-0.5589,-1.3042,1.9244,0.8244,0.0,3.9740170835063098,1,51.0143
0.9672,3.1884,-1.4158,-1.1012,1.8382,1.8167,1.0919,-1.8853,2.0,2.097358371857321,1,20.3581
-1.1827,1.3086,2.5815,-0.0263,-1.5533,0.0773,3.131,-1.8647,3.0,5.960464477539063e-08,3,52.991699999999994
-3.7176,-2.3718,1.8529,1.3189,1.1655,0.4543,-2.7069,2.5554,1.0,2.2709155642603727,0,22.8431
1.5656,2.0395,-0.6048,-4.7409,1.7665,0.9663,-2.9879,-1.3743,2.0,3.6941590721028774,1,1.3189000000000002
0.5619,2.9103,0.066,-3.0531,0.5393,2.1974,-0.793,-1.5078,2.0,2.7817479810363857,1,9.094700000000001
3.5035,1.9277,-3.3159,-0.9821,2.4247,-0.0473,0.1296,0.7488,2.0,2.5422530263528045,1,49.65279999999999
1.7866,1.5494,-0.8785,0.4245,-0.1755,-0.3005,2.7104,-0.3447,2.0,0.0,3,137.34869999999998
0.9077,2.1587,-1.2512,2.2949,-2.9784,2.352,3.6377,-1.1063,3.0,0.0,3,28.505499999999998
0.7888,-1.0964,-2.0388,0.796,0.8278,-0.3135,-1.3505,0.6112,0.0,1.0324352909504804,1,302.3401
-1.956,-1.4136,0.1532,2.6775,-1.5257,0.4812,0.7893,-1.4384,3.0,1.2288428866213918,3,184.3026
0.0555,-0.1759,1.1359,-1.0015,-0.0069,-0.6568,-0.4563,1.2422,1.0,0.0,2,160.91389999999998
0.4668,-0.0982,0.3649,-0.7501,2.1154,-1.1282,-0.6945,2.7416,1.0,0.0,2,123.92930000000001
-2.5615,-1.341,2.2489,0.4086,0.5321,-0.44,-0.7559,0.8914,3.0,0.0,3,167.7611
-0.0611,-0.1133,-0.7338,2.2772,-1.3592,0.4327,1.8406,-0.4613,3.0,0.9663034978721732,3,216.13170000000002
-3.035,-3.1975,0.1988,1.8153,2.5138,-0.9268,-2.6134,0.5661,1.0,0.0,0,91.7981
0.269,-1.5607,1.0506,-1.3137,-1.7089,-1.6697,-0.9118,-1.1835,1.0,1.6409460137371978,2,46.675399999999996
0.1593,3.0667,-0.7302,2.162,-2.6686,3.2938,4.0022,-1.4782,3.0,0.0,3,34.4349
-0.5003,-2.2595,-0.4119,1.2682,0.03,-1.0516,-1.2253,0.9337,0.0,1.6658329207936795,1,322.42010000000005
-1.8869,-0.1639,0.6028,1.4849,-0.6948,0.958,0.8592,-1.5296,3.0,0.0,3,199.1838
-0.9863,2.4378,2.0259,0.0724,-1.8705,1.8793,2.8868,-0.7891,3.0,5.960464477539063e-08,3,74.25919999999999
-2.8075,-1.5693,1.8259,3.8214,0.0451,-0.4856,1.9388,2.7213,3.0,0.0,3,22.7073
-2.2784,-1.9725,0.0466,2.5705,-0.3507,-0.5751,0.7798,-3.0193,3.0,0.895123868523234,3,140.14780000000002
-1.0422,1.0094,2.513,-0.839,-1.1471,0.7642,0.7397,0.9967,1.0,1.6394608930987034,0,81.2859
-5.8146,-0.6053,2.7029,1.364,3.5203,2.2647,-2.2638,2.083,3.0,0.0,3,4.773
2.1956,-0.6734,-0.9416,0.121,-1.6962,-1.6813,1.0515,-0.4845,0.0,2.0950003937947126,1,208.39430000000002
-2.2292,-1.6284,-1.7966,3.0733,1.0534,0.9781,-0.7385,-2.1541,0.0,3.413034100327742,1,61.6452
-0.2242,-1.5628,-0.682,0.332,2.466,-1.4211,-1.5911,1.2328,0.0,1.8770510941367582,1,220.82780000000002
-0.7287,-0.3415,0.4719,2.2263,0.062,-0.433,1.9311,1.3875,3.0,0.0,3,127.00379999999998
-0.4121,0.522,1.8746,-1.922,-0.0911,-0.4447,-0.0364,-0.716,1.0,1.9640823327956491,2,52.4429
-3.6641,1.865,2.824,-0.2539,0.6295,4.0151,-1.2847,3.0112,1.0,3.884084421070171,2,2.7414000000000005
1.7485,1.6856,-2.3442,0.3147,0.5132,0.2921,2.0708,-3.0988,2.0,2.9256975287954834,3,63.220600000000005
5.516,3.7138,-2.7031,-2.6828,2.9453,-0.792,1.4101,2.8855,2.0,2.972883265451236,3,9.3855
-2.178,-3.3354,1.6096,2.7259,1.7839,-3.6578,1.14,0.9498,3.0,0.0,3,14.847999999999999
-2.8918,-3.0208,3.7515,-0.8428,-2.8628,-1.7311,-1.1809,-2.6602,1.0,2.8805173684600494,0,5.540100000000001
-2.9947,-1.0047,4.5356,-0.9149,2.0797,-2.8495,1.0792,-0.3012,3.0,0.0,3,11.0851
0.902,3.4423,-0.5541,0.7659,-2.8874,4.3951,1.7086,2.3437,2.0,1.1920928955078125e-07,3,6.0179
-0.5388,0.5254,1.9125,-0.2956,-1.3164,0.0287,1.2422,0.4206,3.0,4.2146848510894035e-08,3,117.83860000000001
0.0377,-2.7703,-1.1593,0.8391,1.9344,-2.226,-1.9927,1.0596,0.0,2.069264700322315,1,194.6377
1.2505,-0.6415,-2.4333,1.3528,0.3706,-0.6274,0.3786,-1.0618,0.0,2.8125445347585165,1,229.66759999999996
0.4254,-0.326,-1.2231,0.7738,0.3027,0.1985,-0.4061,0.5649,0.0,1.5864015097067954,1,345.33209999999997
-0.5671,-1.6757,0.9116,0.6463,1.4827,-2.0651,-0.3195,2.3803,0.0,3.2673492711982903,1,199.96089999999998
-4.3084,-5.8832,0.3671,3.8071,-0.3945,-1.0926,-3.3635,-0.0886,0.0,4.761069115230319,1,41.2456
0.7902,-1.8515,-0.1376,-1.3313,0.2534,-1.589,-2.6536,1.324,1.0,2.2562623650630704,2,15.935500000000001
-1.3916,-2.9188,0.8047,0.2938,-0.3314,-1.655,-1.8322,-0.6652,1.0,1.3236266014250404,2,98.60810000000001
-1.7812,-1.9724,-1.8082,3.59,-0.421,0.5637,0.142,-2.6386,0.0,3.4636652811725344,1,77.03710000000001
-1.3124,-2.7765,-2.2706,2.0078,0.8828,0.2583,-2.9188,-1.0171,0.0,1.9967087243761927,1,149.9324
-3.6928,-3.1735,3.4696,2.2104,-0.7165,-1.6673,0.0921,1.722,3.0,0.0,3,17.9575
-0.343,-0.8981,-0.6036,0.7312,1.225,-0.4083,-0.7959,0.7468,0.0,0.9844326538671906,1,328.4597
-0.3829,-2.1423,0.9109,0.4977,-0.0382,-1.9297,-0.7311,1.8498,0.0,2.192336326844036,1,174.2275
0.7834,0.2028,-1.9187,-0.2735,0.5291,0.768,-1.196,-1.0612,0.0,0.0,1,151.3072
-1.2567,0.2198,0.7157,1.5117,-1.3693,0.4887,2.1706,-2.1376,3.0,0.0,3,164.0815
-1.934,-0.7385,1.0696,1.2023,-0.9711,0.2733,0.6457,-1.5966,3.0,0.0,3,200.6247
0.1296,-3.6768,-2.2901,2.3176,-0.6564,-1.2614,-2.2176,0.2407,0.0,3.270943000114799,1,114.1339
2.6247,0.406,-1.0557,0.2682,-1.7174,-1.1754,2.1507,-0.1808,2.0,1.590751872543294,1,186.4069
-0.03,-1.8139,1.5857,1.5982,-2.4728,-3.0728,3.2127,-1.5522,3.0,2.7658798563928997,3,27.8943
1.0377,-0.2803,0.4372,-1.0874,4.58,-2.6178,-0.9089,5.1887,0.0,4.33964061876096,1,2.3653
3.1844,2.9405,-1.4047,0.6953,-1.1399,-0.2493,5.1165,-1.1971,2.0,2.0986443624397135,3,23.2733
-2.5323,-1.597,1.3227,2.1287,0.1703,0.1687,-0.3822,2.0654,3.0,0.0,3,107.14770000000001
-4.9026,-0.9274,3.3643,0.9489,2.7109,0.6312,-1.1491,1.9553,3.0,0.0,3,22.8214
-0.2863,0.6372,0.3291,-1.5017,1.1468,0.3225,-0.9546,-0.7401,1.0,0.0,2,67.9813
0.2278,-0.1248,2.2638,0.4083,-2.443,-1.5153,2.8134,0.7235,3.0,0.0,3,19.523600000000002
-2.6139,-2.7299,0.4053,2.8483,-0.8206,-0.7138,0.1993,-2.0609,3.0,1.238337736645378,3,148.1235
1.2287,2.1794,0.7831,-3.1744,4.0654,-1.8376,0.9336,-0.6547,2.0,0.0,3,2.6541
0.1816,-1.8646,-1.0505,0.1125,-0.8165,-0.8528,-1.4403,-2.0205,0.0,1.7186748412657935,1,111.81019999999998
3.417,2.3542,-2.0863,-0.0814,-1.8464,0.965,2.2135,0.3299,2.0,1.4792034241442222,3,71.3933
1.6114,2.0035,-0.1167,0.1078,-3.041,1.0325,2.9038,-1.0313,2.0,1.1708391477910198,3,44.041799999999995
-1.4334,-2.6579,0.5829,1.701,0.6884,-1.5847,-0.9089,1.7131,0.0,2.5680681630361755,1,215.82240000000002
0.9586,0.8664,-0.7653,0.4852,0.5996,-0.1208,1.3443,0.4199,2.0,2.9802322387695312e-08,3,239.435
0.938,4.9964,0.5599,-4.3674,-1.4919,4.3736,-0.3339,-2.3823,2.0,5.301659158225848,3,2.1582
0.7989,-1.2995,-1.3906,2.2602,-0.5325,-1.1201,1.0673,0.5615,0.0,2.902041672684939,1,228.8839
-3.234,-2.988,6.0533,-2.3357,-2.8105,-3.1515,-0.6409,-2.4731,1.0,4.7348363382486625,0,0.466
3.4617,1.1257,-1.1769,-1.5048,-2.1108,-0.8389,1.3862,-1.1329,2.0,1.2983748495715715,1,103.9849
-4.3271,-4.9723,0.552,3.3237,1.3353,-1.1603,-2.9841,0.3227,3.0,2.499657330515528,3,54.4903
3.7595,3.126,-1.6321,-1.8338,2.2605,-0.4235,1.6626,1.9581,2.0,2.48073893830044,1,47.907399999999996
3.9509,1.6443,-3.2708,-0.9271,0.1905,0.2853,0.1334,0.6145,2.0,1.970530456501496,1,93.20369999999998
2.5927,0.7761,-3.3792,0.4791,0.7993,0.1382,0.366,-0.5683,2.0,1.3402639553461109,3,146.78300000000002
-1.8852,0.1134,0.452,1.6193,-0.8219,1.3724,0.9796,-1.5326,3.0,0.0,3,183.8123
-0.1158,-0.6343,0.1347,1.505,-1.1648,-0.0659,0.7417,1.4567,3.0,0.0,3,207.841
0.9465,-1.3287,-1.6354,0.8481,0.293,-1.8275,0.4905,-2.2968,0.0,2.693573919535159,1,141.037
1.8528,-0.2055,-0.5737,0.5262,1.2401,-2.1016,1.2774,2.6917,0.0,3.205241287329239,1,166.39069999999998
3.2603,5.5183,-1.2561,-3.1847,-1.4768,3.3974,1.8506,-1.7978,2.0,3.3572684238827226,3,3.3572
0.5508,0.0256,-2.2051,0.7993,1.4392,0.648,-0.8368,0.1836,0.0,1.3925903022784551,1,200.55009999999996
-1.4848,-1.2286,1.5987,1.6958,0.4524,-1.4753,1.3841,1.2417,3.0,4.2146848510894035e-08,3,135.3342
-3.727,-4.6657,0.1775,2.2142,1.1974,-1.3751,-3.1503,-1.7582,0.0,3.0197122710615982,1,61.3414
-1.2099,-0.6826,-0.3609,3.7135,2.8189,-1.1916,2.482,2.0104,3.0,0.0,3,14.2188
-1.7752,-0.5295,-1.3789,3.2532,-0.7359,1.6598,0.9905,-2.5092,3.0,0.0,3,90.67760000000001
